"INFO  29.07.2017 17:21:31 - Пассажир 8 сел на 0 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 89 сел на 3 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 73 сел на 0 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 35 сел на 5 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 35 сел на 5 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 80 сел на 0 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 93 сел на 0 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 91 сел на 2 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 40 сел на 4 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 50 сел на 5 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 96 сел на 0 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 65 сел на 5 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 68 сел на 5 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 92 сел на 2 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 100 сел на 2 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 41 сел на 4 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 58 сел на 4 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 67 сел на 4 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 75 сел на 4 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 70 сел на 5 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 85 сел на 5 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 97 сел на 5 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 84 сел на 4 этаже
""INFO  29.07.2017 17:21:31 - Пассажир 86 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 6 сел на 0 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 11 сел на 0 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 20 сел на 0 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 7 сел на 2 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 1 сел на 3 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 2 сел на 5 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 12 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 12 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 18 сел на 5 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 3 сел на 3 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 15 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 15 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 8 сел на 1 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 9 сел на 1 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 19 сел на 1 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 21 сел на 1 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 25 сел на 5 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 16 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 5 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 32 сел на 1 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 29 сел на 5 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 17 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 27 сел на 0 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 31 сел на 0 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 23 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 26 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 4 сел на 3 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 44 сел на 1 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 33 сел на 0 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 52 сел на 1 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 65 сел на 1 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 10 сел на 3 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 28 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 28 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 13 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 14 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 62 сел на 0 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 39 сел на 5 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 34 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 30 сел на 3 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 35 сел на 2 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 74 сел на 0 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 36 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 38 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 42 сел на 3 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 37 сел на 2 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 70 сел на 1 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 50 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 50 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 22 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 24 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 45 сел на 2 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 73 сел на 1 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 77 сел на 0 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 53 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 57 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 40 сел на 5 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 80 сел на 0 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 99 сел на 0 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 61 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 71 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 71 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 49 сел на 2 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 59 сел на 2 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 54 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 86 сел на 6 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 54 сел на 4 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 75 сел на 1 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 92 сел на 1 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 48 сел на 3 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 58 сел на 3 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 41 сел на 5 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 95 сел на 1 этаже
""INFO  29.07.2017 18:44:12 - Пассажир 43 сел на 5 этаже
